start,end,text
1382.7,1389.9,"Sie greift nach seiner Hand und zieht ihn hinter sich her. * s In einem Flur späht Jenny um eine Ecke, schleicht mit Forrest zu einem Zimmer und schließt auf."
1392.0,1395.9,"Später: Jenny, im Unterkleid, nimmt den Bademantel ihrer schlafenden Mitbewohnerin…"
1397.5,1399.1,"s …und legt ihn um seine nackten Beine."
1400.7,1402.1,"ss Auch sein Oberkörper ist nackt."
1417.1,1418.5,"Jenny trocknet ihre Haare."
1426.9,1428.5,"s Sie zieht ihr Unterkleid aus."
1431.4,1434.2,"In BH und Unterhose setzt sie sich neben Forrest aufs Bett."
1437.3,1444.7,"Schüchtern sieht Forrest auf ihren Busen. Jenny ist schlank. Sie hat ein schmales ebenmäßiges Gesicht und glattes langes Haar. Sie bemerkt seinen Blick."
1454.5,1462.8,"Jenny sieht ihn ruhig an. Sie öffnet ihren BH … (KLICK) … und streift ihn ab. Forrests Augen weiten sich. Verlegen schaut er weg."
1465.6,1468.1,"Jenny nimmt seine Hand und legt sie sich auf die Brust."
1472.1,1474.3,"Forrest linst aus den Augenwinkeln rüber."
1475.3,1476.3,"Er zuckt zusammen."
1489.5,1491.0,"s Er schaut aufgewühlt vor sich hin."
1492.2,1493.7,"Jenny zieht den BH wieder an."
1499.1,1502.1,"Sie schmiegt ihren Kopf an seine Schulter und streicht ihm über die Wange."
1514.0,1519.8,"Sie küsst ihn auf die Wange. (KUSS) Die Mitbewohnerin liegt von ihnen abgewandt im Bett und schaut angewidert."
1526.0,1540.1,"s Im Stadion formen die Zuschauer mit den Tafeln 'Go Forrest'. Der hängt alle Gegner ab und erreicht die Touchdown-Zone. Die Tafeln formen ein 'Stop'; die Kapelle stellt sich Forrest in den Weg; er bleibt stehen; die Gegner stürzen übereinander."
1555.5,1556.6,"s Forrest an einem Buffet."
1567.1,1568.6,"ss Ein Kellner öffnet ihm eine Cola."
1579.5,1580.1,"s Kennedy:"
1583.7,1588.4,"Schwarzweißaufnahmen: In der Spielerschlange trippelt Forrest unruhig hin und her und hält sich den Bauch."
1592.2,1592.9,"ss Zu Forrest:"
1600.4,1613.6,"In der Präsidententoilette mit vielen Privatfotos sowie rotem und schwarzem Telefon neben dem Klo: Forrest schließt seine Hose und geht zum Waschtisch. Dort stehen ein gerahmtes Bild von Marilyn Monroe mit Widmung und ein Bild von John F. und Robert Kennedy."
1633.8,1634.6,"s Auf dem Campus:"
1645.2,1647.0,"Ein Offizier kommt zu ihnen."
1654.8,1656.4,"s Er gibt ihm eine Army-Werbebroschüre."
1658.2,1659.6,"ss In einem Army-Bus zum Fahrer:"
1672.9,1675.3,"Ein Schwarzer versperrt den leeren Platz neben sich."
1676.2,1677.8,"Eingeschüchtert geht Forrest weiter."
1685.8,1689.6,"S Er sieht zu einem Schwarzen mit vorstehender Unterlippe. Der nimmt einen Koffer vom Sitz."
1697.6,1698.8,"ss Er gibt ihm ein Taschentuch."
1735.8,1740.4,"Eine schwarze Köchin bedient einen Weißen. * Im gleichen Haus bedient auch die schwarze Großmutter ihren weißen Herrn."
1766.08,1767.5,"ss Im Schlafsaal."
1776.5,1777.7,"ss Die Männer sind in Unterwäsche."
1795.1,1796.6,"ss Jeder setzt sein Gewehr zusammen."
1847.4,1848.3,"ss Sie putzen Stiefel."
1858.7,1860.5,"ss Sie scheuern den Boden mit Zahnbürsten."
1871.4,1873.1,"s Es ist dunkel. Bubba liegt wach im Bett."
1883.5,1887.1,"Forrest liegt oben im Etagenbett. Sein Nachbar wirft ihm einen 'Playboy' zu."
1892.4,1903.7,"Forrest schaut in die Zeitschrift und blättert um. Auf einem Bild kniet Jenny nur in weit aufgeknöpfter College-Jacke. Ungläubig starrt Forrest auf das Foto."
1915.3,1916.4,"ss Er kommt in einen Club."
1926.1,1927.7,"ss Zwischen Porträts eins von Jenny."
1947.3,1961.6,"Der Vorhang öffnet sich. Jenny sitzt mit einer großen Gitarre auf einem Barhocker. Das Instrument verdeckt Brust und Schoß. Sie trägt nur einen hautfarbenen Slip."
1993.6,1996.0,"Ein Mann will ihr einen Geldschein in den Pumps stecken."
1998.1,1999.1,"ss Sie tritt seine Hand weg."
2001.5,2003.0,"Er schüttet sein Bier über ihre Füße"
2008.6,2010.8,"Forrest marschiert mit grimmiger Miene nach vorn."
2011.7,2013.9,"Er packt den Mann von hinten und stößt ihn zu Boden."
2015.7,2016.7,"ss Er schubst noch einen um."
2018.5,2019.5,"Er steigt auf die Bühne …"
2021.1,2021.9,"… und hebt sie hoch."
2024.2,2030.7,"s Er tut es. (PLING) Sie drückt ihm die Gitarre in die Hand und eilt von der Bühne. Forrest hetzt ihr nach. * Später auf einer Brücke:"
2050.5,2054.6,"Jenny schaut nachdenklich aufs Wasser. Forrest betrachtet sie."
2073.8,2080.6,"Sie steigt auf eine niedrige Querstrebe des Geländers. Beunruhigt sieht Forrest sie von unten nach oben an und kommt etwas näher."
2087.6,2089.7,"Ein Autoscheinwerfer streift ihr Gesicht."
2092.3,2094.1,"Sie stellt sich auf die Fahrbahn und winkt."
2106.4,2107.9,"Sie bleibt stehen und sieht zu ihm."
2132.2,2133.8,"Jenny geht zur Beifahrerseite."
2137.8,2138.4,"Sie stoppt."
2151.7,2163.7,"Der Schatten eines Hubschraubers gleitet über Reisfelder. In der offenen Tür sitzt ein Bordschütze am Maschinengewehr. Er schaut zu Forrest und Bubba neben ihm. Die beiden weichen seinem Blick eingeschüchtert aus."
2170.2,2178.1,"Der Hubschrauber landet auf einem Stützpunkt neben einem anderen Helikopter. Zwei Soldaten erwarten ihn. Bubba und Forrest springen mit ihren Gepäcksäcken raus."
2198.7,2208.3,"An einem Fluss grillen Soldaten zwischen Palmen und trinken Bier. Einige spielen Karten. Im Hintergrund fliegt eine Hubschrauberstaffel den Fluss entlang. Forrest und Bubba gehen mit ihrem Gepäck darauf zu."
2224.4,2226.0,"ss Ein Soldat mit nacktem Oberkörper:"
2249.5,2250.9,"Bubba zieht die Unterlippe ein."
2256.8,2259.1,"Forrest und Bubba mustern sich und schütteln den Kopf."
2266.1,2266.9,"s Sie folgen Dan."
2310.5,2314.5,"Soldaten, die genau wie Dan aussehen, sterben in 4 historischen Kriegen."
2336.0,2337.1,"ss Er geht in eine Latrine."
2351.8,2354.4,"Sein Kopf verschwindet hinter der brusthohen Latrinentür."
2361.0,2369.4,"s Auf Patrouille gehen Forrest und Bubba mit anderen durch ein Reisfeld. Sie tragen tarnfarbene Helme, olivgrüne Uniformen und Rucksäcke. Ihre Gewehre halten sie quer vor sich."
2375.1,2377.2,"s Zwischen Feldern gehen sie eine Sandpiste entlang."
2387.5,2394.4,"Forrests Gesicht ist schmutzig. Unter einem Riemen an seinem Helm klemmt ein Plastikfläschchen. Ein vorne gehender Soldat hebt die Faust."
2396.6,2398.1,"Der Trupp hockt sich links und rechts der Piste an die Böschung."
2415.0,2416.0,"Dan geht nach vorn."
2419.2,2423.6,"Er hockt sich hin, dreht sich zu seinen Männern um und zeigt mit zwei Fingern auf seine Augen."
2426.8,2430.3,"Dan legt sich flach auf die Piste und späht über den Boden direkt vor ihm."
2440.2,2441.6,"Ein Soldat mit Hornbrille."
2444.3,2445.1,"ss Ein Schwarzer."
2455.2,2457.0,"Vorne steht Lieutenant Dan wieder auf."
2478.4,2480.3,"s Hinter Dan und Forrest fliegt Erde hoch."
2482.1,2483.1,"ss Forrest kriecht rein."
2488.3,2491.3,"s Bis zur Brust in trübem Wasser watet der Trupp durch ein Reisfeld."
2516.2,2517.3,"ss Sie gehen durch einen Fluss."
2583.2,2585.0,"Er liegt unter einer Plane und schreibt."
2600.3,2602.1,"ss Jenny kommt aus dem Wohnwagen ihrer Oma."
2606.8,2609.0,"Sie steigt zu anderen Hippies in einen VW-Bus."
2619.4,2622.8,"Auf Patrouille streift der Trupp durch den Dschungel."
2645.4,2647.6,"ss Ein Kamerad wird getroffen. Forrest wirft sich hin."
2649.0,2650.8,"s Leuchtende Munition saust durch die Luft."
2654.8,2657.6,"s Überall spritzt Erde hoch. Forrest robbt hinter eine Wegböschung."
2662.5,2665.2,"ss Neben Forrest liegt Dan und hält den Hörer eines Funktelefons."
2670.7,2671.6,"ss Forrest schießt."
2692.2,2694.2,"ss Ein Feuerball fegt die MG-Schützen weg."
2705.9,2708.4,"Forrest schaut verstört zwischen Dan und Bubba hin und her."
2710.8,2712.1,"s Dan zerrt Forrest hoch."
2717.1,2720.5,"Forrest rennt los. Überall schlagen Granaten ein; Erde spritzt hoch."
2723.7,2725.6,"s Ein Soldat hinter Forrest wird weggerissen."
2733.6,2735.8,"s Forrest überholt Bubba, ohne ihn zu bemerken."
2754.0,2756.4,"Er bleibt stehen, schnellt herum und rennt zurück."
2761.6,2763.3,"Forrest läuft durch den lichten Dschungel."
2772.8,2774.2,"s Neben ihm hebt sich eine Hand."
2780.5,2782.4,"Forrest legt sich Tex über die Schultern."
2791.2,2794.5,"Tex ist an der Schulter verwundet; sein Hemd ist blutdurchtränkt."
2798.4,2802.4,"Forrest kommt mit Tex zu einer Lichtung an einem Flussufer und legt ihn ins Gras."
2814.5,2818.5,"ss Er legt einen Soldaten mit blutigem Verband ans Ufer und rennt zurück. * Er findet Dallas."
2821.4,2822.8,"ss Forrest legt Dallas ans Ufer."
2833.5,2835.7,"ss Er stolpert und starrt auf Dans blutige Beine."
2847.6,2849.3,"ss Forrest schnallt Dan den Rucksack ab."
2855.7,2857.3,"ss Forrest wuchtet Dan auf die Schultern."
2868.9,2876.9,"ss Er fällt hin. Ein Baum hinter ihm explodiert. Forrest schleift Dan an einem Arm hinter sich her. Der schießt mit der Pistole zurück in den Dschungel."
2883.4,2884.4,"s Forrest trägt ihn."
2896.7,2899.1,"s Forrest legt ihn ans Ufer. Dan hält ihn fest."
2913.5,2915.5,"Er rennt wieder los."
2917.1,2919.7,"Mit seinem Gewehr in beiden Händen hastet er durch den Dschungel."
2924.4,2926.4,"Forrest stoppt und sieht sich verzweifelt um."
2929.7,2933.2,"Der sieht zur Seite und entdeckt Bubba am Boden. Rauch liegt in der Luft."
2941.0,2944.8,"Geschockt zieht Forrest einen blutigen Palmwedel von Bubbas großer Bauchwunde."
2953.2,2955.0,"s Etwas entfernt huschen Gestalten vorbei."
2956.7,2957.8,"s Forrest schaut kurz hin."
2965.0,2967.0,"Er läuft mit Bubba auf den Armen durch den Dschungel."
2976.0,2986.6,"Beim Laufen sieht Forrest panisch zum Himmel. * Er kommt mit Bubba auf eine Lichtung. Kampfjets fliegen heran. Im Dschungel hinter den beiden explodieren Napalm-Bomben. Die Explosionen kommen immer näher."
2991.6,2997.1,"Ein orangeroter Feuerball schießt direkt hinter ihnen hoch. Forrest rennt weiter. Der Dschungel steht in Flammen."
3001.9,3006.0,"Dunkler Qualm hängt über den Baumkronen. Gehetzt trägt Forrest Bubba zum Ufer."
3018.8,3020.5,"s Mit Bubba im Arm sitzt er im Gras."
3060.9,3061.8,"Auf der Wartebank:"
3064.5,3066.5,"s Neben Forrest sitzt jetzt ein dicker Mann."
3068.4,3069.9,"Forrest sieht ihn abrupt an."
3093.7,3094.3,"ss Im Lazarett:"
3102.6,3104.8,"s Forrest, mit zwei Eistüten, liegt auf dem Bauch."
3108.3,3109.4,"s Dan schaut ins Leere."
3112.7,3116.2,"Dan nimmt die Tüte, legt sie in seine Bettpfanne und starrt weiter vor sich hin."
3118.1,3119.9,"Forrest robbt von einer Liege auf sein Bett."
3125.7,3133.8,"Der Pfleger legt Dans Hände an einen Haltegriff. Dans Unterschenkel sind amputiert. Die Stümpfe sind mit Bandagen umwickelt. Der Pfleger hebt ihn hoch."
3135.1,3138.0,"Eine Rollliege wird heran geschoben. Der Pfleger legt Dan darauf."
3139.0,3140.0,"Dan wird weggerollt."
3141.1,3142.0,"Post wird verteilt."
3143.4,3145.0,"Forrest schleckt weiter sein Eis."
3148.7,3150.5,"Er bekommt ein dickes Bündel Briefe."
3153.4,3158.9,"Forrest zieht den obersten Brief heraus. Er ist an Jenny adressiert und mit dem Stempel 'unzustellbar' versehen."
3161.5,3166.2,"Forrest nimmt weiter Briefe aus dem Bündel. Alle sind an Jenny gerichtet und haben denselben Stempel."
3167.5,3170.4,"Niedergeschlagen betrachtet Forrest einen Brief nach dem anderen."
3172.0,3175.6,"In einem Freizeitraum des Lazaretts sitzt Forrest mit einem Eis vorm Fernseher."
3181.7,3183.9,"Mühsam steht Forrest von mehreren Kissen auf."
3187.7,3189.3,"s Ein Tischtennisball trifft seinen Kopf."
3190.8,3192.6,"Der Mann bewegt seinen Schläger wie im Spiel."
3194.3,3195.5,"Forrest schüttelt den Kopf."
3198.1,3199.6,"Er gibt Forrest den Schläger."
3209.1,3211.8,"s Er bewegt den Ball hin und her; Forrest behält ihn im Blick."
3212.8,3215.4,"Mit dem Eis in der Hand spielt Forrest gegen einen Rollstuhlfahrer."
3225.4,3226.6,"Er übt die Angabe."
3231.0,3233.3,"ss Die Bälle springen vom Gegnerfeld in eine Bettpfanne."
3234.9,3238.1,"s Forrest spielt vor vielen Zuschauern gegen das hoch geklappte Gegnerfeld."
3249.3,3250.3,"Dan auf einer Liege schaut mürrisch nach draußen."
3251.6,3257.1,"Forrest spielt allein. Dabei trifft er immer wieder ein Zielquadrat auf einer hochgestellten Platte. Ein Offizier kommt."
3262.8,3265.6,"Forrest greift wieder… ""MEIN SOHN!"" … zu Ball und Schläger."
3267.7,3268.6,"ss Im Schlafsaal:"
3272.5,3278.5,"Er zieht einen Vorhang weg. In Dans Bett liegt ein Mann mit vollständig bandagiertem Kopf und Oberkörper. Zu einer Schwester:"
3284.8,3286.9,"Forrest sieht wieder auf den Schwerverletzten."
3293.5,3294.1,"ss Im Fernsehen:"
3307.5,3309.1,"Johnson hängt Forrest die Medaille um."
3318.8,3324.8,"Im Saal sitzt auch die Mutter von Forrest. Der glotzt Johnson an, dreht sich um und entblößt die Pobacke mit der Wunde."
3327.3,3332.6,"s Im Friseurladen gucken drei Männer verdutzt zum Bildschirm. * Johnson winkt amüsiert ab und geht."
3334.5,3336.0,"s Forrest vor dem 'Lincoln Memorial'…"
3345.7,3347.0,"er trägt Paradeuniform"
3358.8,3362.1,"s Er wird in eine Schlange von 'Veteranen gegen den Krieg' geschoben."
3366.0,3381.8,"s Am Straßenrand viele Busse mit Antikriegs-Parolen. Die zwei Frauen führen die Veteranen und Forrest hinter eine Bühne. Viele der Männer haben Bärte und lange Haare, sie tragen Uniformteile kombiniert mit Zivilkleidung. An der Treppe zur Bühne wird Forrest an den Anfang der Schlange gestellt. Der Veteran hinter ihm:"
3420.4,3421.2,"Der Veteran:"
3423.0,3435.0,"Zögernd geht Forrest zu den Mikros. Vor der Bühne stehen Zehntausende um ein längliches Bassin. An dessen Ende ragt das 'Washington Monument' empor – ein 170 Meter hoher weißer Obelisk."
3445.3,3450.9,"Vor dem 'Lincoln Memorial' stehen Übertragungswagen. In der Menge werden Plakate mit dem Friedenssymbol hochgehalten."
3478.0,3484.5,"s Neben der Verstärkeranlage sieht sich ein Polizist unauffällig um … ""IN VIETNAM"" … und reißt Stecker aus den Buchsen."
3488.0,3494.3,"Forrest spricht weiter. ""OCH!"" Eine der beiden Frauen stürmt zum Polizisten und schnappt sich seinen Schlagstock."
3501.3,3505.7,"Der Polizist wird weggezerrt, die Verstärkeranlage neu verkabelt."
3509.4,3510.7,"s Forrest redet immer weiter."
3519.5,3524.2,"Der Mann mit dem Flaggenhemd wischt sich Tränen aus den Augen und legt Forrest die Hände auf die Schultern."
3540.1,3545.1,"s Eine Frau steigt ins Bassin … ""FORREST"" … und watet durchs knietiefe Wasser Richtung Bühne."
3549.0,3560.4,"Der springt von der Bühne und hetzt durch die Menge zum Bassin. Jenny läuft glücklich lächelnd durchs Wasser auf ihn zu. Über ihrem weiten langen weißen Kleid trägt sie eine rot gestreifte Weste, die bis zu den Waden reicht."
3561.2,3562.4,"Forrest rennt ins Wasser."
3565.0,3566.3,"Sie fallen sich in die Arme."
3578.0,3578.9,"ss  Abends in einem Camp."
3608.1,3610.4,"Bei Jenny steht ein Weißer mit roter Armbinde."
3635.8,3638.1,"Forrest starrt zu Jenny und Wesley, die sich streiten."
3643.5,3644.7,"s Wesley ohrfeigt Jenny."
3647.3,3653.6,"In Zeitlupe: Forrests Augen weiten sich. Er marschiert auf Wesley zu, stürzt sich auf ihn und fällt mit ihm über einen Tisch."
3659.5,3660.8,"ss Er prügelt auf Wesley ein."
3665.1,3666.0,"ss Sie zieht ihn weg."
3667.3,3671.1,"Wesley rappelt sich hoch, fasst sich ins Gesicht und sieht auf seine blutigen Hände."
